type;requete;page_cible;position;impressions;clics;gain_estime;action;detail
QUICK_WIN;permis de construire le havre;permis-de-construire-le-havre;16.1;2531;5;103.8;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec permis-de-construire-le-havre : 100%
CTR_FAIBLE;maitre d'oeuvre le havre;zones/le-havre;1.6;988;70;80.2;Position 2 mais CTR de 7.1% au lieu de 15.2% attendu. Réécrire le titre et la meta description.;
CTR_FAIBLE;cabinet maitre d'oeuvre le havre;zones/le-havre;1.4;258;0;70.7;Position 1 mais CTR de 0.0% au lieu de 27.4% attendu. Réécrire le titre et la meta description.;
QUICK_WIN;maitrise d'oeuvre;moe-execution;20.6;1559;1;70.2;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec moe-execution : 50%
CTR_FAIBLE;maitre d'oeuvre;zones/le-havre;3.9;871;8;53.0;Position 4 mais CTR de 0.9% au lieu de 7.0% attendu. Réécrire le titre et la meta description.;
QUICK_WIN;déclaration préalable le havre;declaration-prealable;15.5;1322;1;52.9;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec declaration-prealable : 100%
QUICK_WIN;bet thermique le havre;etude-thermique-re2020;15.6;1085;0;44.5;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec etude-thermique-re2020 : 67%
QUICK_WIN;bilan thermique le havre;etude-thermique-re2020;20.2;922;0;40.6;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec etude-thermique-re2020 : 67%
QUICK_WIN;maitre d’œuvre caen;zones/caen;24.9;835;0;37.6;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/caen : 67%
PAGE_MANQUANTE;étude de sol seine-maritime (76);;26.5;737;0;33.2;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : etude-de-sol-geotechnique (40%)
PAGE_MANQUANTE;entreprise batiment le havre;;58.2;492;0;25.1;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (33%)
QUICK_WIN;architecte le havre;permis-de-construire-le-havre;15.7;460;14;18.9;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec permis-de-construire-le-havre : 50%
PAGE_MANQUANTE;charpentier couvreur le havre;;61.2;338;0;17.2;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (33%)
CTR_FAIBLE;plui le havre;plui-le-havre;9.4;681;0;17.0;Position 9 mais CTR de 0.0% au lieu de 2.5% attendu. Réécrire le titre et la meta description.;
PAGE_MANQUANTE;expert fondations spéciales le havre;;27.7;378;0;17.0;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (25%)
QUICK_WIN;maitre d'oeuvre caen;zones/caen;20.1;342;2;15.0;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/caen : 100%
QUICK_WIN;bornage terrain le havre;viabilisation-terrain;15.9;356;0;14.6;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec viabilisation-terrain : 67%
QUICK_WIN;maitrise d'œuvre;moe-execution;13.7;374;0;14.6;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec moe-execution : 100%
PAGE_MANQUANTE;entreprise de batiment le havre;;59.3;268;0;13.7;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (33%)
QUICK_WIN;constructeur maison le havre;construction-maison-le-havre;23.5;266;2;12.0;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 67%
PAGE_MANQUANTE;cabinet geometre expert le havre;;19.1;234;0;10.3;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (25%)
PAGE_MANQUANTE;entreprise btp le havre;;45.0;207;0;10.1;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (33%)
QUICK_WIN;bureau d'étude le havre;etude-de-sol-geotechnique;13.5;244;7;9.5;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec etude-de-sol-geotechnique : 67%
QUICK_WIN;réalisation plan de façade le havre;plans-structure-execution;21.2;209;0;9.4;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec plans-structure-execution : 50%
QUICK_WIN;permis de construire pas cher;permis-de-construire-le-havre;22.2;209;1;9.4;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec permis-de-construire-le-havre : 50%
PAGE_MANQUANTE;bureau maitrise dœuvre montvilliers;;17.6;199;0;8.6;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : moe-execution (25%)
QUICK_WIN;aménagement parcelle le havre;local-commercial;21.3;187;0;8.4;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec local-commercial : 67%
QUICK_WIN;viabilisation terrain le havre;viabilisation-terrain;21.1;180;0;8.1;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec viabilisation-terrain : 100%
QUICK_WIN;maitrise d'oeuvre rouen;zones/rouen;18.2;185;0;8.0;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/rouen : 67%
QUICK_WIN;maitrise d oeuvre;moe-execution;24.0;170;0;7.6;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec moe-execution : 50%
PAGE_MANQUANTE;batiment industriel le havre;;59.0;147;0;7.5;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (33%)
QUICK_WIN;maitrise doeuvre;moe-execution;16.1;182;0;7.5;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec moe-execution : 50%
PAGE_MANQUANTE;étude de sol g1 dans les yvelines;;71.7;139;0;7.1;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : etude-de-sol-geotechnique (40%)
PAGE_MANQUANTE;maître d’œuvre indépendant;;80.8;139;0;7.1;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : prix-honoraires-maitre-oeuvre (33%)
CTR_FAIBLE;plu le havre;permis-de-construire-le-havre;9.0;311;1;6.8;Position 9 mais CTR de 0.3% au lieu de 2.5% attendu. Réécrire le titre et la meta description.;
PAGE_MANQUANTE;maîtrise d'oeuvre dieppe;;28.3;146;0;6.6;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : moe-execution (33%)
QUICK_WIN;maîtrise d œuvre aménagement bureaux;moe-execution;13.6;167;0;6.5;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec moe-execution : 50%
PAGE_MANQUANTE;maitrise d'oeuvre industriel;;15.9;159;0;6.5;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : moe-execution (33%)
PAGE_MANQUANTE;mosquée maryam le havre;;6.8;331;8;6.3;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (33%)
QUICK_WIN;maitre d'ouvrage rouen;zones/rouen;15.5;154;0;6.2;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/rouen : 67%
PAGE_MANQUANTE;partenaire erp normandie;;33.6;125;0;6.1;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : amo-assistance-maitrise-ouvrage (33%)
PAGE_MANQUANTE;cabinet maitrise d'oeuvre;;28.1;131;1;5.9;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : moe-execution (33%)
QUICK_WIN;etancheite seine-maritime;extension-maison;14.9;131;0;5.2;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec extension-maison : 67%
QUICK_WIN;maitre d œuvre aménagement bureaux;amenagement-bureaux;16.8;122;0;5.1;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec amenagement-bureaux : 50%
QUICK_WIN;construction de bâtiment professionnel havre;construction-maison-le-havre;18.5;109;0;4.8;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 50%
QUICK_WIN;maitre d'oeuvre batiment;zones/le-havre;21.9;102;0;4.6;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/le-havre : 67%
QUICK_WIN;construction de bâtiment professionnel rouen;construction-maison-le-havre;20.5;101;0;4.5;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 25%
PAGE_MANQUANTE;suivi de chantier rouen;;6.7;238;0;4.5;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : opc-ordonnancement-pilotage-coordination (33%)
QUICK_WIN;terrasse sur plots harfleur;terrasse-beton;22.1;99;0;4.5;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec terrasse-beton : 25%
QUICK_WIN;pose gouttière le havre;permis-de-construire-le-havre;14.0;114;0;4.4;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec permis-de-construire-le-havre : 33%
QUICK_WIN;construction de bâtiment professionnel caen;construction-maison-le-havre;20.2;93;0;4.1;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 25%
